,0,1,2,3,4,5
291,502529,1,17785,20060719,122398719,292
292,466188,1,14154,20051228,122398719,293
293,446420,0,13114,20060717,122398719,294
294,453280,3,20199,20060725,122398794,295
295,435643,2,5540,20060209,122398719,296
296,444881,1,15118,20060628,122398719,297
297,417927,0,4189,20060626,122398719,298
298,423546,1,13017,20060221,122398719,299
299,424086,0,13683,20060710,122398719,300
300,422119,1,12917,20060627,122398719,301
301,392839,1,7080,20051216,122398719,302
302,380430,0,3622,20051012,122398719,303
303,393391,0,15413,20060607,122398719,304
304,375277,2,3939,20060413,122398719,305
305,362400,0,4251,20051012,122398719,306
306,355953,0,9594,20060801,122398719,307
307,369074,1,5162,20051108,122398719,308
308,352835,0,6490,20060815,122398719,309
309,315661,0,17578,20060628,122398719,310
310,275957,0,8755,20051012,122398719,311
311,291045,0,4492,20051012,122398719,312
312,293729,4,19336,20051117,122398719,313
313,257338,4,16943,20051216,122398719,314
314,271882,2,14262,20060320,122398719,315
315,254307,1,18215,20051028,122398719,316
316,218884,0,11448,20051012,122398719,317
317,151350,0,12770,20051112,122398719,318
318,143929,0,18899,20060113,122398719,319
319,150665,1,12198,20060529,122398719,320
320,128273,1,4594,20060714,122398719,321
321,132180,0,10169,20060724,122398719,322
322,109264,1,128,20060726,122398719,323
323,99208,2,13058,20060819,122398719,324
324,88759,2,14705,20060802,122398794,325
325,68436,0,11090,20060819,122398719,326
326,31422,3,12305,20060717,122398719,327
327,477060,1,245,20060702,122398719,328
328,405034,0,19174,20060707,122398719,329
329,374585,0,9328,20060320,122398719,330
330,267110,0,18468,20051216,122398719,331
331,249892,0,5447,20060209,122398719,332
332,235741,0,17998,20060719,122398719,333
333,213017,2,5617,20060420,122398719,334
334,107812,0,9476,20060719,122398719,335
335,84480,0,1914,20060510,122398719,336
336,20352,0,14437,20060702,122398719,337
337,284867,0,10485,20060811,122398719,338
338,206469,0,16142,20060719,122399961,339
339,535886,0,5374,20060724,122398719,340
340,525780,1,7050,20060714,122398719,341
341,504510,0,17436,20060618,122398719,342
342,445425,0,5964,20060704,122398719,343
343,436719,0,1141,20060719,122398719,344
344,432516,0,14587,20060813,122398769,345
345,393156,0,18853,20060608,122398719,346
346,319583,0,13570,20060219,122398719,347
347,318752,0,15607,20060118,122398719,348
348,307501,2,11928,20051217,122398719,349
349,296085,2,12671,20051216,122398719,350
350,282454,0,5923,20060716,122398719,351
351,297676,0,18333,20060725,122398719,352
352,186754,0,5416,20060820,122398719,353
353,169251,3,16393,20060710,122398769,354
354,157040,0,9300,20051113,122398719,355
355,156289,1,14309,20060805,122398719,356
356,145624,0,2523,20060413,122398719,357
357,96568,1,12016,20060717,122398719,358
358,35039,3,16358,20051012,122398719,359
359,549141,0,5912,20060810,122398807,360
360,538040,0,1075,20060702,122398719,361
361,458813,0,3477,20060814,122398719,362
362,387554,1,9140,20060425,122398719,363
363,345600,2,15630,20060209,122398794,364
364,348396,2,12623,20060704,122398719,365
365,309618,0,2258,20060307,122398719,366
366,270057,1,17301,20060510,122398719,367
367,114318,3,10673,20060221,122398719,368
368,84070,2,12587,20051013,122398719,369
